"Iteration","Posterior","Likelihood"
9510,-304.7999,-308.1444
9520,-307.3594,-307.9299
9530,-308.6002,-307.765
9540,-306.403,-308.8868
9550,-307.1964,-307.4725
9560,-310.3918,-314.0682
9570,-309.8464,-313.3964
9580,-307.0691,-308.1505
9590,-309.5437,-313.2951
9600,-308.5899,-307.9315
9610,-309.049,-308.4111
9620,-307.6212,-307.8995
9630,-305.9039,-308.1407
9640,-307.3799,-309.0741
9650,-305.9103,-308.2497
9660,-311.9694,-307.4612
9670,-307.1491,-307.7232
9680,-309.4229,-307.9182
9690,-308.2169,-307.6195
9700,-310.9392,-308.668
9710,-306.1427,-308.3243
9720,-306.3719,-307.7578
9730,-309.0645,-308.0168
9740,-310.7102,-308.7432
9750,-304.9937,-307.4621
9760,-309.5348,-310.1464
9770,-306.847,-307.7711
9780,-308.9878,-308.9389
9790,-307.3477,-308.2636
9800,-309.6951,-308.9384
9810,-304.6461,-307.1467
9820,-306.5107,-308.0224
9830,-308.5107,-307.1722
9840,-306.3129,-308.8065
9850,-305.5217,-308.086
9860,-305.2818,-308.5161
9870,-309.1414,-308.286
9880,-311.7366,-309.1024
9890,-306.2652,-309.8583
9900,-306.7301,-308.1141
9910,-307.9687,-309.6626
9920,-303.9685,-307.6771
9930,-308.748,-306.7996
9940,-312.7549,-307.655
9950,-305.4968,-306.8909
9960,-304.6174,-307.629
9970,-304.8809,-307.4021
9980,-305.983,-308.6288
9990,-310.6133,-310.7096
10000,-304.6973,-307.3552
